"dat[, 6]" "Temperature" "Humidity" "Wind.Speed" "general.diffuse.flows" "diffuse.flows"
"26187" 36921.841 28.07 43.8 4.919 18.99 16.47
"51878" 10037.93517 14.77 59.21 0.083 0.077 0.1
"29904" 32234.30962 29.79 57.39 4.906 686.5 101.9
"38309" 14249.96936 20.9 85.7 4.919 0.077 0.096
"49966" 11835.77431 13.74 49.73 0.075 0.037 0.141
"37316" 13261.53218 16.25 67.83 4.916 0.066 0.104
"36169" 14761.83861 19.78 88.5 0.341 0.08 0.115
"50506" 14417.28691 17.5 66.22 4.92 50.43 64.56
"21551" 17705.58704 25.53 55.77 4.921 494.3 189.5
"1777" 10768.19277 12.82 83.7 0.075 0.07 0.148
"20035" 15519.35223 18.66 87.2 0.069 0.084 0.156
"15994" 15877.81818 12.72 87.9 0.07 0.029 0.122
"13367" 28514.90909 15.08 85.1 0.074 0.695 0.582
"34232" 22594.60815 26.48 70.7 4.924 419.1 64.43
"5287" 15595.41709 12.64 43.17 0.086 307.6 233.4
"44492" 14064.57831 19.34 74.1 0.069 0.062 0.126
"46743" 11022.6506 15.98 27.03 4.922 481 33.48
"32452" 20415.79937 22.05 43.39 4.909 320.6 48.94
"13252" 17314.90909 14.87 87 0.072 0.037 0.126
"34231" 22678.87147 26.48 71.1 4.925 444.8 63.76
"10037" 17250.96774 19.87 58.95 4.921 370.9 81
"49623" 12187.27491 16.69 66.74 0.078 414.1 106.7
"40628" 12021.8845 19.96 85.1 0.073 0.059 0.141
"35708" 19651.07252 21.72 81.2 0.294 0.066 0.1
"41661" 9693.37386 18.46 93.1 0.074 3.148 2.59
"29332" 32300.58577 31.25 34.78 4.91 642.9 33.81
"25170" 26496 23 77.3 4.916 147.8 133.6
"25476" 29904.73846 22.77 84.4 4.92 0.069 0.141
"25872" 22957.29231 27.96 54.77 0.068 700 119.6
"34542" 26392.47649 25.7 80.8 4.921 0.058 0.159
"8306" 15774.87437 16.94 60.31 0.083 481.5 510.4
"50325" 8862.42497 14.71 71 0.082 402.3 34.77
"19391" 17099.27126 21.29 67.09 4.922 746 762
"50175" 8557.022809 15.73 64.46 0.082 141.8 141.2
"3714" 26371.08434 14.02 59.31 0.082 1.164 1.246
"27960" 23274.97908 23.46 89.3 4.915 0.055 0.163
"48951" 15039.61585 9.97 69.36 0.082 0.084 0.096
"51905" 9905.402161 15.51 58.64 0.08 369.2 111.7
"47306" 10016.38554 19.4 51.68 0.082 500.1 39.99
"50017" 6545.978391 10.87 72 0.085 0.457 0.519
"25204" 28953.6 21.5 79.4 4.916 0.077 0.126
"32053" 26958.24451 34.58 22.11 4.906 790 135.3
"24543" 17203.2 23.23 69.35 0.067 685.6 101.5
"45940" 12925.3012 14.7 81.5 0.079 0.062 0.107
"41769" 11934.3465 20.81 64.57 0.102 0.069 0.13
"28551" 17822.25941 22.22 56.36 4.922 8.34 6.984
"51862" 9450.180072 14.75 59.95 0.082 0.062 0.119
"16410" 22999.27273 16.93 76.1 0.082 0.015 0.141
"15960" 27531.63636 18.63 72.3 0.072 7.36 6.937
"15713" 15488 15.84 87.3 0.065 0.011 0.111
"22033" 23530.33846 20.32 82.6 0.068 0.044 0.137
"14524" 27642.18182 15.77 79.3 0.073 0.037 0.141
"14777" 20695.27273 17.34 77.4 0.078 311.8 279.1
"8045" 25320.84422 13.98 47.16 0.082 0.059 0.137
"8380" 13974.51256 13.26 67.39 0.082 0.066 0.096
"25382" 16051.2 19.41 89.3 4.916 4.096 3.213
"16566" 17367.27273 16.74 65.33 0.079 0.04 0.1
"43053" 14700.54711 18.38 68.38 0.085 0.055 0.1
"41571" 11951.8541 20.65 85.8 0.067 36.1 30.26
"49974" 10228.09124 12.99 57.18 0.091 0.037 0.078
"46003" 15458.31325 16.07 71.4 0.086 420 89
"21794" 11478.64615 20.05 85.6 0.068 190.5 148.3
"32784" 25995.23511 29.74 44.38 4.908 671 37.98
"46904" 15313.73494 15.31 53.95 4.919 70.1 86.9
"16956" 18868.36364 21.2 40.97 0.082 208.5 185.3
"24816" 12772.43077 20.39 64.64 4.917 296.7 286.5
"36325" 9672.563841 20.16 71.6 0.358 0.088 0.122
"30780" 26223.94984 26.84 82.1 4.913 404.8 331.1
"39901" 12949.78723 23.47 61.55 4.921 0.102 0.074
"20451" 18166.15385 17.97 83.1 0.066 0.029 0.196
"36263" 22251.60368 25.11 63.65 0.264 1.74 1.448
"9621" 24903.87097 14.25 74.5 0.071 3.985 3.745
"1953" 17493.9759 16.02 60.98 0.084 102.6 104.6
"37824" 13679.26456 25.77 70.1 4.92 513.6 48.18
"4344" 14151.3253 16.23 78.6 4.916 0.018 0.122
"7627" 23572.58291 12.57 66.76 0.085 0.051 0.145
"2974" 17540.24096 13.47 53.12 0.085 458.8 525.8
"33467" 21998.74608 23.92 76.1 4.917 609.8 217.7
"37099" 14179.3667 28.85 35.05 0.303 661.1 50.64
"34933" 16617.93103 30.87 39.21 4.924 791 42.12
"22243" 15135.50769 22.25 74.1 0.071 713 479.9
"44800" 10311.3253 19.48 82.9 0.07 0.069 0.119
"41771" 11630.88146 20.78 64.57 0.107 0.062 0.096
"3785" 14480.96386 6.854 87.9 0.088 0.062 0.163
"5309" 25095.07538 8.92 56.03 0.086 0.033 0.115
"8817" 14986.45161 13.17 87.6 4.911 0.011 0.111
"51189" 9139.015606 16.58 59.75 0.08 78.8 72.2
"32029" 24767.39812 30.72 23.77 4.905 564.6 109.7
"25395" 18745.10769 21.33 85.1 4.917 151.8 116.6
"24500" 22833.23077 20.62 88.4 0.069 0.048 0.174
"21839" 17870.76923 23.74 57.21 0.07 741 59
"36732" 14173.48315 21.37 59.95 0.27 0.055 0.093
"44607" 17355.18072 20.42 70.8 0.071 3.291 2.76
"7641" 17019.49749 13.79 57.68 0.086 0.037 0.119
"15354" 18519.27273 22.14 50.52 0.089 255.3 216.7
"36644" 14502.96221 24.44 50.15 0.269 661.5 80.8
"9531" 14080.64516 10.43 84.3 0.073 0.022 0.141
"17041" 12637.09091 13.9 75 0.079 86 74.8
"31260" 24255.79937 26 87.5 4.911 0.069 0.141
"35539" 22904.67824 23.81 62.65 0.325 27.34 23.22
"44397" 7309.879518 15.89 86.9 0.072 0.168 0.174
"1603" 14238.07229 9.81 76 0.092 0.055 0.119
"39304" 17897.77324 18.76 85.5 4.921 0.08 0.082
"51311" 6701.560624 8.54 86.5 0.086 0.059 0.115
"20189" 14289.23077 17.53 76.5 0.07 0.066 0.152
"15682" 26955.63636 16.27 84 0.066 0.018 0.096
"25044" 29006.76923 22.55 53.67 4.919 0.095 0.104
"51025" 6563.265306 16.03 71.1 0.074 0.099 0.171
"20585" 24223.48178 17.51 68.67 4.926 0.051 0.137
"21380" 15210.36437 25.69 53.18 0.071 802 94.8
"23870" 21179.07692 26.17 33.2 0.073 373.5 405.7
"33067" 26049.40439 27.03 63.85 0.065 740 59.36
"48603" 9553.901561 16.49 60.45 0.087 557.6 221.6
"47515" 13538.31325 13.39 78.4 0.079 0.048 0.093
"4052" 14561.92771 12.1 70.8 4.914 0.04 0.145
"48552" 9190.876351 12.49 80.5 4.924 0.077 0.141
"14106" 24994.90909 14.4 89.4 0.073 0.059 0.182
"36404" 18286.08784 24.02 79.4 0.258 10.15 8.02
"22044" 23583.50769 19.97 87.4 0.066 0.051 0.167
"41544" 12377.87234 22.98 71.1 0.07 238.1 199.1
"4577" 25176.1206 11.78 54.95 4.917 6.313 6.464
"20429" 26339.75709 18.25 78.6 0.069 0.113 0.152
"20633" 11065.26316 17.2 80 0.066 7.05 5.79
"47184" 9513.253012 18.42 42.64 4.92 288.9 31.48
"45723" 18384.57831 20.87 61.74 0.071 517.9 79.5
"51773" 10170.46819 15.4 57.63 0.08 471.9 148.4
"23082" 11047.38462 21.4 62.04 0.084 58.61 47.24
"19000" 24130.20243 18.09 87.4 0.07 0.055 0.111
"24898" 28510.52308 23.75 43.73 4.917 0.095 0.082
"52257" 16007.68307 13.44 51.97 0.077 0.037 0.104
"35240" 16062.10419 24.96 50.05 4.927 389.4 53.43
"33367" 26332.2884 26.79 77.2 4.928 223.4 168.4
"37854" 19639.30541 27.05 49.82 4.931 0.066 0.082
"48008" 7888.192771 9.8 83 0.085 106.7 75.6
"29951" 37717.15481 25.48 79.8 4.907 0.088 0.096
"8469" 25274.53266 14.51 69.19 0.083 4.142 4.057
"32810" 40193.60502 24.44 58.28 4.906 2.442 2.063
"13181" 18868.36364 15.35 86.9 0.077 210.7 188.7
"49850" 9288.835534 14.18 49.97 0.082 0.029 0.111
"45548" 8084.819277 18.72 63.74 0.073 0.055 0.148
"36848" 21692.66599 22.32 65.69 0.274 0.106 0.082
"39995" 14677.20365 26.1 54.75 4.92 137.3 48.02
"38841" 14785.37283 23.21 74.2 4.92 297.3 183.4
"20737" 19477.89474 17.59 84.2 4.917 0.037 0.126
"48518" 14538.29532 14.35 62.85 4.916 0.059 0.126
"33623" 24550.721 27.46 48.22 4.927 932 251.6
"45464" 16441.44578 20.45 66.34 0.073 172.4 188.2
"24982" 17215.01538 26.12 42.83 4.921 855 47.96
"44899" 20287.22892 20.37 76.3 0.066 0.091 0.078
"19062" 14843.07692 17.71 90.1 0.088 425.6 391.2
"44986" 14452.04819 18.63 81.2 0.077 250.2 89.7
"46670" 9970.120482 13.36 56.97 0.083 0.059 0.063
"52360" 10671.78872 14.53 38.72 0.078 452.7 38.21
"14507" 17611.63636 16.17 82.7 0.075 205 193.4
"17725" 15222.02429 20.55 71.3 0.081 0.044 0.163
"459" 13821.68675 6.683 83.5 0.086 0.04 0.082
"32474" 26031.34796 27.03 39.09 4.908 846 55.35
"38774" 10419.77528 19.87 86.3 4.912 0.055 0.148
"9000" 16867.74194 15.14 62.88 4.914 255.1 247.2
"32956" 38863.44828 25.17 58.25 0.071 0.117 0.152
"26642" 28095.06276 24.32 84.7 4.916 0.055 0.126
"12484" 16751.6129 26.32 32.54 0.081 464.3 491.3
"42478" 13801.82371 19.86 80.6 4.916 0.048 0.115
"20927" 11782.34818 17.11 89.4 4.916 105.3 87.2
"45839" 8587.951807 12.37 87.1 0.082 1.013 0.904
"49202" 9478.991597 17.06 47.53 0.083 191.5 185.4
"14093" 28706.90909 14.35 90.2 0.067 0.066 0.185
"20159" 21664.12955 18.26 79.3 0.068 0.051 0.104
"8092" 13870.31156 11.3 69.96 0.085 0.073 0.119
"42127" 11730.09119 23.53 67.93 4.917 627.8 56.98
"2766" 13873.73494 8.85 62.07 0.082 0.04 0.033
"37194" 9513.707865 18.65 84.6 0.282 0.479 0.3
"27531" 22383.2636 22.09 45.92 4.914 0.073 0.07
"50308" 6949.339736 11.59 82 0.079 9 8.69
"25685" 16771.93846 23.07 67.28 4.916 415.6 386.5
"49553" 9899.639856 8.07 88.6 0.083 0.062 0.163
"50249" 13725.81032 14.32 78.9 0.084 0.037 0.152
"46314" 18748.91566 19.83 67.11 4.921 416.9 78.1
"9625" 24932.90323 13.62 77 0.073 0.033 0.093
"21465" 21576.68016 19.3 77.9 4.925 0.069 0.089
"11895" 15172.25806 15.67 52.52 0.086 549.3 96.9
"51723" 9548.139256 7.27 85.8 0.085 0.073 0.096
"50066" 9761.344538 14.08 69.08 0.085 36.87 36.66
"19855" 26234.81781 20.28 68.55 4.917 0.04 0.148
"51281" 9922.689076 10.24 81.7 0.087 0.059 0.119
"8185" 25755.01508 14.39 69.43 0.084 0.033 0.152
"3197" 14029.87952 9.76 76.8 0.083 0.095 0.137
"1542" 16244.81928 18.88 48.4 0.085 126.2 130.2
"43793" 10629.39759 16.59 58.01 0.087 0.059 0.096
"16187" 16058.18182 17.11 80.1 0.084 428.7 143
"47831" 9195.180723 16.9 68.29 4.92 0.08 0.115
"2013" 21189.39759 13.32 81.9 0.082 0.048 0.126
"39911" 11823.46505 24.28 56.99 4.918 0.124 0.082
"46726" 10236.14458 14.88 45.55 4.921 482.5 33.64
"6521" 14391.31658 15.29 63.32 0.082 0.048 0.119
"8145" 17274.21106 17.78 49.57 0.084 683.5 51
"42653" 10901.39818 17.5 81.6 4.914 0.044 0.163
"51731" 9755.582233 7.56 83.2 0.082 0.084 0.122
"25011" 20736 28.69 34.79 4.92 679.2 45.87
"41132" 12389.54407 23.04 61.63 0.077 325.4 150.5
"8549" 11792.90323 10.34 87 0.094 140.2 143.4
"17592" 14965.50607 20.19 49.64 0.08 0.117 0.122
"12407" 13627.74194 14.55 83.3 0.083 0.029 0.152
"15181" 16965.81818 16 78.5 0.085 571.6 98
"593" 14238.07229 7.87 80 0.081 0.062 0.159
"20372" 16160.64777 20.23 59.99 0.072 762 200.3
"3670" 18280.48193 12.24 66.54 0.085 457.8 490.3
"33855" 20283.38558 20.57 78.2 4.912 0.102 0.119
"35721" 15673.78958 23.32 68.56 0.268 0.077 0.119
"12637" 16983.87097 23.3 45.31 4.924 228.3 251
"15967" 27368.72727 15.65 83.4 0.072 0.033 0.108
"2780" 13197.10843 11.58 52.75 4.918 0.059 0.093
"6064" 14912.32161 11 89.9 0.079 0.059 0.141
"907" 14671.80723 8.38 85.2 0.089 0.048 0.152
"5518" 10402.73367 5.532 90.4 0.082 0.077 0.134
"23930" 17817.6 16.15 77.4 0.072 0.08 0.115
"50626" 9576.95078 14.92 83.9 0.083 456.6 67.71
"23921" 24605.53846 16.42 77.9 0.071 0.062 0.085
"41051" 12377.87234 17.82 70.3 0.107 0.084 0.107
"40352" 12728.02432 13.76 73.3 4.915 0.08 0.107
"45362" 12601.44578 16.33 77 0.073 0.066 0.093
"28335" 30975.06276 27.79 74.5 4.917 282.8 267.4
"49468" 10521.96879 15.86 65.31 0.073 367.1 166.6
"51013" 9536.614646 16.18 69.29 0.072 0.055 0.137
"12775" 15485.80645 25.11 36.44 4.924 432.9 474.9
"39087" 9960.858018 20.71 79.7 4.916 510.7 64.19
"36604" 13449.80592 20.46 69.96 0.272 0.077 0.107
"9623" 24607.74194 14.13 75 0.075 0.212 0.222
"43126" 12144.43769 19.77 66.21 4.92 254.3 203.7
"3458" 18234.21687 5.648 73.4 0.085 0.073 0.13
"42646" 10784.68085 19 80.1 4.914 0.059 0.126
"41214" 11858.48024 16.03 82.3 0.091 0.051 0.137
"7070" 15045.46734 13.76 74 0.072 0.055 0.141
"22180" 23920.24615 20.11 85.7 0.068 0.044 0.152
"29161" 31240.16736 30.71 58.76 4.905 836 71.1
"42573" 12955.6231 21.26 69.77 4.921 256.9 214.1
"32883" 19603.26019 22.17 69.79 0.068 283.2 35.81
"23524" 12187.56923 19.9 47.18 0.081 431 425.9
"40517" 11117.32523 16.64 78.5 0.082 67.04 56.54
"44071" 11057.3494 16.11 81 0.084 0.062 0.104
"29997" 21419.24686 25.39 57.59 4.906 106.6 90.3
"32238" 38688.90282 26.33 31.48 4.909 0.077 0.093
"14125" 16407.27273 14.42 90.5 0.07 0.059 0.159
"33216" 26627.21003 27.71 72.3 4.921 649.9 167.4
"19064" 15560.16194 18.42 88.8 0.09 532.5 493.4
"28204" 44055.56485 26.3 78.9 4.915 1.188 1.015
"27549" 18310.29289 21.23 50.76 4.915 144.8 131.3
"15773" 19671.27273 15.96 84.5 0.07 154 127.5
"3293" 26833.73494 11.96 70.1 0.087 0.048 0.137
"21934" 10622.03077 20.59 84.2 0.067 103.6 87.7
"33423" 21101.94357 24.15 81.7 4.921 0.073 0.137
"37553" 19527.51788 23.4 80.9 4.922 98.2 96.6
"15889" 12794.18182 16.03 93 0.075 73.1 62.89
"22941" 10952.86154 19.47 74.9 0.079 148.1 132.8
"5502" 13824 7.32 89.4 0.072 0.044 0.137
"14177" 17890.90909 15.33 83.5 0.074 164.2 153.4
"23845" 18650.58462 25.67 38.57 0.072 901 46.66
"34429" 18574.04389 24.52 88.7 4.918 0.095 0.1
"51430" 9703.721489 8.43 89.5 0.08 0.066 0.115
"13508" 28421.81818 18.35 71.1 0.076 32.78 31.33
"43643" 10883.89058 20.06 79.8 0.069 0.048 0.141
"4668" 14101.86935 8.95 73.5 4.917 135.5 134.1
"18506" 18055.38462 21 72.5 4.917 816 120.9
"25391" 17664 20.83 87.4 4.913 83.5 66.34
"12251" 14556.77419 12.69 85.2 0.083 0.044 0.171
"45155" 16533.9759 21.12 62.24 0.073 532.1 74.1
"52190" 8873.94958 12.57 52.14 0.077 251.6 35.95
"47513" 14076.14458 13.19 79.1 0.08 0.044 0.096
"9333" 25211.6129 13.92 65.15 0.074 3.056 2.941
"6242" 11328.96482 8.84 88.1 0.082 4.549 4.569
"12547" 13836.77419 15.68 58.69 4.923 0.026 0.148
"10483" 25890.96774 15.61 71.8 0.074 22.83 20.92
"44193" 17297.3494 17.41 83.9 0.085 0.077 0.089
"9394" 14324.51613 7.92 88 0.081 0.059 0.156
"4168" 23699.27711 16.25 56.88 4.918 0.062 0.082
"9177" 15601.93548 15.45 53.34 4.918 309.7 348.7
"19505" 16877.73279 20.16 69.74 4.923 769 741
"7980" 14072.92462 9.38 74 0.087 351.6 40.1
"47702" 9281.927711 15.3 77 4.912 0.044 0.104
"10573" 14109.67742 12.83 74 0.086 474.3 51.2
"38673" 14679.46885 23.9 61.65 5.012 747 37.45
"7654" 15201.76884 12.52 60.98 0.083 0.051 0.134
"31317" 26073.47962 29.52 67.39 4.905 343.6 202
"4607" 19931.33668 8.57 63.7 4.921 0.04 0.145
"51805" 16042.2569 14.55 59.99 0.08 9.76 10.08
"21889" 23565.78462 20.22 87.8 0.064 0.033 0.1
"20578" 26170.68826 17.86 70.6 4.921 0.059 0.104
"23603" 27346.70769 19.8 53.31 0.076 0.055 0.085
"40313" 17221.64134 18.32 56.85 4.922 0.091 0.082
"40819" 12809.72644 25.39 46.39 0.086 290.4 158.2
"45221" 12161.92771 18.92 70.2 0.071 0.051 0.104
"21057" 10429.79757 18.47 89.5 4.916 0.044 0.111
"33922" 23906.70846 28.39 40.31 4.907 834 44.87
"11430" 11996.12903 12.43 84.9 0.077 17.33 15.91
"4095" 14538.79518 15.45 51.29 4.917 317.1 47.78
"50142" 9231.212485 15.19 63.92 0.078 0.07 0.108
"7603" 25251.37688 14.46 63.55 0.086 6.145 6.19
"20207" 11671.57895 18.47 74.5 0.07 227 214
"8788" 17047.74194 13.88 85.8 4.913 0.029 0.1
"46372" 12543.61446 12.71 88 4.923 0.055 0.152
"44744" 13069.87952 21.65 63.64 0.074 171.7 94
"30517" 37771.38075 25.44 70.1 4.903 0.102 0.07
"51819" 16514.76591 14.58 54.31 0.082 0.033 0.119
"31135" 18086.52038 24.5 88.2 4.91 0.088 0.133
"32475" 26254.04389 26.98 40.29 4.909 835 52.67
"49657" 15869.38776 12.46 82.4 0.077 0.073 0.115
"24868" 20080.24615 27.95 29.32 4.921 654.1 40.33
"46949" 11074.6988 8.47 81.4 4.922 0.07 0.085
"25052" 28156.06154 21.07 60.41 4.917 0.08 0.126
"48521" 13702.7611 14.22 65.49 4.918 0.044 0.104
"52271" 13207.20288 13.27 53.81 0.077 0.055 0.093
"12819" 16937.41935 17.25 79.9 0.075 0.044 0.163
"568" 23045.78313 10.59 76.3 0.08 0.066 0.13
"20142" 26648.74494 18.94 76 0.07 0.073 0.152
"46351" 17551.80723 14.01 87 4.914 0.048 0.089
"872" 15932.53012 11.87 77.1 0.088 0.048 0.141
"26336" 34861.25523 24.61 83.3 4.923 0.077 0.122
"33322" 23058.05643 24.64 92.9 4.923 234.4 162.7
"4446" 25896.86747 14.62 63.12 4.919 0.044 0.122
"18398" 17227.53036 22.83 53.92 0.07 312.9 342.7
"11424" 10480.64516 12.1 86.7 0.081 6.442 5.882
"8620" 25200 16.88 69.32 0.082 0.04 0.133
"28180" 30191.79916 28.2 64.18 4.916 305.7 225.8
"49359" 16393.7575 13.34 67.86 0.078 0.597 0.645
"10842" 10776.77419 9.7 88.5 0.073 0.073 0.171
"44058" 14423.13253 17.04 79.3 0.083 0.055 0.156
"34327" 17370.28213 23.98 85.7 4.919 183.1 133.9
"2248" 16672.77108 13.11 48.93 0.082 405.7 430.3
"14436" 12346.18182 14.78 83.3 0.074 0.015 0.148
"14593" 12701.09091 15.5 88.3 0.073 62.6 56.39
"35080" 14485.31154 28.36 41.75 4.927 767 86.5
"3338" 14457.83133 10.39 71.4 0.087 0.066 0.096
"44386" 10374.93976 14.93 86.7 0.072 0.048 0.167
"34185" 19127.77429 24.63 80 4.919 438.1 82.5
"8829" 11020.64516 12.78 87.8 4.908 0.091 0.145
"11475" 15189.67742 15.61 74.8 0.079 229.5 216
"38171" 13714.56588 22.75 45.52 4.926 0.102 0.056
"6357" 13980.30151 10.25 74.4 0.085 0.066 0.141
"16724" 15912.72727 13.02 74.8 0.082 0.048 0.145
"45701" 13202.89157 16.2 82.7 0.074 29.09 28.85
"15835" 22394.18182 15.95 87.7 0.07 0.033 0.096
"36243" 15456.09806 26.68 57.79 0.257 501.3 45.2
"28422" 23666.61088 26.34 71.5 4.923 414.3 358.9
"16238" 18333.09091 20.71 54.25 0.088 146.7 124
"51568" 9409.843938 8.42 87.7 0.081 0.059 0.152
"31880" 23744.20063 27.03 59.42 4.903 187.2 146.8
"51265" 12164.22569 12.66 75 0.074 0.051 0.115
"7520" 13592.44221 13.34 67.63 0.082 0.066 0.156
"21557" 17769.7166 24.04 63.81 4.916 481.7 259.6
"15779" 19601.45455 16.25 86.1 0.071 68.67 55.76
"37561" 20068.8049 23.1 82.4 4.915 0.044 0.107
"8331" 25425.04523 15.47 57.44 0.083 0.048 0.111
"30389" 30354.47699 22.76 68.12 4.904 0.073 0.126
"44658" 10143.61446 19.76 76.3 0.07 0.044 0.141
"52403" 16485.95438 7.65 71.1 0.082 0.084 0.093
"26816" 16147.28033 24.27 82.8 4.916 0.069 0.148
"16079" 18874.18182 18.73 72.2 0.073 746 231.6
"27831" 16388.28452 21.88 73.8 4.911 13.87 11.33
"24193" 26283.32308 20.43 86.6 0.068 0.037 0.141
"37867" 16103.28907 25.08 55.32 4.918 0.055 0.122
"15911" 18845.09091 17.65 87.6 0.073 126.5 107.7
"30490" 29770.04184 30.35 40.85 4.905 441.4 450.3
"39915" 11992.70517 24.33 56.19 4.917 0.106 0.07
"23659" 11295.50769 19.74 52.71 0.08 28.15 23.07
"915" 11589.39759 8.47 85 0.089 4.216 3.95
"46108" 11757.10843 12.69 75.7 0.082 0.048 0.111
"46587" 10906.98795 21.1 48.3 0.082 410.6 134.2
"45861" 12219.75904 19.26 69.78 0.079 440.5 106.9
"8626" 24334.83871 15.19 78.8 0.086 0.029 0.13
"32153" 15811.41066 25.04 55.78 4.902 3.728 3.008
"41469" 14093.61702 18.88 84 0.159 0.048 0.1
"37657" 13979.32584 24.14 74.3 4.919 337 275.1
"8020" 16156.94472 17.02 36.75 0.082 480.7 492.9
"50136" 9092.917167 15.41 63.12 0.079 0.055 0.115
"16440" 15621.81818 16.76 72.6 0.081 0.015 0.13
"4534" 15977.48744 11.39 59.23 4.918 618.9 659.1
"9014" 17477.41935 14.94 62.58 4.919 321.4 315.6
"30060" 28137.23849 34.22 27.68 4.906 367.3 83.1
"15001" 15778.90909 13.61 85.1 0.084 0.026 0.122
"11777" 23969.03226 11.69 64.73 0.087 52.08 49.87
"20404" 17489.87854 19.66 70.9 0.068 179.4 137.3
"41470" 13795.98784 18.69 83.5 0.178 0.033 0.174
"44674" 10554.21687 20.05 71 0.069 0.091 0.085
"1036" 14128.19277 13.47 76.5 0.092 0.073 0.145
"37498" 11890.66394 21.81 82 4.914 119.4 104.6
"24739" 24073.84615 28.4 29.15 4.92 217.2 236.5
"36801" 15426.68029 25.65 52.48 0.294 400.5 182.1
"28693" 18213.89121 21.66 54.56 4.92 0.739 0.648
"44513" 10178.31325 18.79 79 0.069 0.062 0.156
"5038" 21476.98492 9.06 48.54 0.088 0.059 0.104
"41111" 12873.92097 24.23 49.29 0.083 339.6 122.4
"24570" 19873.47692 25.21 61.74 0.068 799 89.4
"35862" 16550.43922 22.8 84.8 0.283 0.099 0.148
"49811" 14993.51741 15.61 51.64 0.081 0.066 0.133
"11304" 16211.6129 14.32 81.7 0.073 250.5 225.2
"24376" 12494.76923 19.79 89.1 0.067 11.86 9.18
"28562" 21768.70293 24.18 49.89 4.919 315.8 298.4
"37321" 13214.46374 16.18 67.53 4.918 0.095 0.089
"11130" 9981.290323 10.46 88.3 0.08 0.073 0.108
"28222" 36265.1046 26.18 82.3 4.916 0.062 0.115
"29275" 20208.20084 22.62 56.52 4.913 89.9 82.6
"25149" 21888 24.34 69.51 4.92 817 84.9
"20202" 10639.67611 17.82 79.9 0.069 50.96 45.6
"8796" 15149.03226 13.18 86.8 4.911 0.033 0.093
"35365" 16215.07661 27.35 30.51 4.934 789 50.14
"27072" 29523.01255 27.77 45.95 4.919 0.095 0.115
"13732" 15156.36364 14.37 74.7 0.074 12.99 11.72
"50255" 12331.33253 13.93 79.6 0.084 0.07 0.156
