humidity	longitude	latitude	date
73.8	-154.96	-5.01	930119
90.3	-124.95	-1.99	960216
78.7	-154.99	-5.01	960421
72.8	-155.02	-1.98	940105
75.8	156.08	1.99	951228
86.3	137.02	2.03	930413
88.6	-139.95	-2.0	940325
77.7	-179.87	-2.0	951228
78.1	-110.0	-5.0	910526
84.5	-154.99	7.95	971006
84.8	-124.89	-2.03	930929
86.7	-154.88	5.01	911012
84.3	-124.98	5.05	940113
83.0	-109.98	0.0	951005
79.4	-94.86	5.38	960319
74.1	-170.02	1.96	960815
81.4	-140.26	9.0	950729
74.7	165.16	-4.98	950904
82.3	-154.98	0.0	961005
87.5	-179.96	-8.0	950206
83.9	165.0	2.01	940824
81.5	-95.01	1.98	970104
75.1	-125.01	-7.98	960804
87.5	-110.04	-1.99	970201
83.4	-124.9	-2.02	930117
84.4	-124.35	0.02	940302
82.8	-155.04	0.04	950112
84.4	164.99	2.06	930504
82.8	-140.0	1.99	930715
85.6	-109.99	-4.97	940211
82.0	-124.36	0.05	940826
90.9	-169.94	4.99	960507
78.2	-179.85	-7.97	961117
80.8	-179.9	-1.99	960914
73.4	-170.04	2.0	940726
89.8	-170.04	-2.17	920725
75.1	-109.94	-8.0	941201
90.7	-155.0	7.96	950109
70.9	-154.94	2.05	961121
78.1	-110.25	2.13	920718
81.4	-140.24	9.0	941225
88.9	-139.91	-5.02	960307
75.5	-124.87	5.14	971220
80.2	-139.93	-4.99	940624
82.9	-170.04	-8.01	950530
76.8	-169.97	4.98	940218
71.1	-170.03	-0.03	940921
78.9	-154.95	-8.27	920430
74.8	-179.89	0.03	940811
81.7	165.03	1.99	970930
70.5	-124.87	5.12	950922
74.1	-125.02	-7.97	970627
88.0	-110.03	0.01	941216
82.8	-95.15	-4.97	970722
76.3	-170.03	-8.01	970211
77.4	165.0	5.05	960723
84.1	-140.25	9.01	940910
72.4	-179.91	0.01	960901
76.9	156.07	4.99	961113
86.3	-155.02	0.01	930311
79.4	-154.98	1.98	961218
74.4	-179.9	0.0	961015
71.9	-154.96	-8.28	970527
74.6	-154.99	-4.98	970106
83.9	-154.98	-8.29	931222
81.0	164.39	-1.94	930809
80.2	-179.85	-1.96	940507
91.2	-124.37	-0.02	930103
76.9	164.86	0.03	920712
85.2	-110.0	-4.99	910822
73.8	-154.93	4.99	960916
75.1	-155.02	-0.01	941123
85.6	-139.96	-2.01	980130
82.4	-110.08	2.02	920114
81.9	-110.0	-4.99	940818
76.9	137.41	2.43	951104
91.9	-110.13	8.06	950814
73.4	-155.03	-1.98	960828
86.7	-109.93	-8.02	930427
71.1	-179.87	0.05	940712
74.6	164.99	5.02	960120
75.9	-94.96	8.05	960313
82.6	156.2	2.08	980513
85.9	164.1	-4.93	940214
85.2	-124.82	5.12	961206
82.0	-124.89	-2.04	971206
82.0	164.84	0.03	920303
84.8	165.02	5.03	980505
83.6	-110.07	2.03	920521
81.3	-124.91	-2.04	920427
77.3	-139.97	5.0	950629
83.4	-179.85	2.0	960512
83.4	-155.0	0.01	930504
81.6	-109.99	-4.98	930804
76.3	156.03	0.0	940223
75.5	-170.03	-5.0	950524
79.9	-154.98	-4.98	970524
85.8	-125.01	-7.97	970317
81.3	-140.33	8.96	980604
86.3	-109.93	-8.02	930924
74.1	136.99	4.95	950121
70.7	-95.1	-8.02	950604
78.2	-95.09	-8.03	951217
80.2	-94.99	7.95	950304
82.0	157.51	-0.01	921218
89.8	-124.95	-2.0	960316
87.7	164.82	-8.04	980414
92.4	-96.08	-0.31	951221
84.5	-124.9	-2.02	930129
82.8	-139.99	-1.98	930623
79.9	156.04	0.0	920930
79.4	165.03	0.0	940625
87.0	-125.02	8.03	950425
86.6	-124.89	-2.02	930502
81.7	-140.0	2.0	950708
84.5	164.83	-8.04	980426
83.1	-154.93	2.06	960503
78.9	-155.03	0.0	970524
78.1	-124.33	-0.2	961029
82.1	137.4	2.43	960723
83.2	165.0	8.0	921109
75.4	-170.05	1.99	950728
83.0	-109.97	5.01	940414
83.7	-170.04	8.01	970416
76.9	-154.74	0.0	971106
81.8	-139.85	4.9	960605
80.1	-179.85	1.99	951212
82.8	-124.34	-0.22	911117
83.1	-179.87	0.03	940309
72.0	-170.03	-4.99	960131
81.5	-109.93	-8.05	951023
81.3	-179.81	2.02	980309
80.0	-154.93	4.99	961127
85.9	-179.88	5.01	940408
77.7	-179.79	2.02	970120
79.6	-154.99	7.98	971226
88.5	165.02	5.03	980617
71.9	-139.96	-4.97	930111
82.9	165.06	7.99	980416
85.2	-139.99	-1.98	930523
83.7	-124.9	-5.0	941209
83.9	-125.05	1.96	980409
85.2	-109.97	0.01	970312
73.4	-154.95	-5.02	931001
80.8	147.06	4.95	961228
84.8	-170.01	-0.03	920604
82.8	-170.04	-0.03	931227
80.9	-110.11	2.04	950814
70.7	-170.03	2.01	940913
84.8	-169.98	-5.02	930531
82.6	-179.89	5.0	941121
81.0	-179.89	5.0	940927
81.6	-154.87	5.0	920718
79.6	-179.92	-8.01	940406
78.2	-109.93	-8.06	960918
76.6	-109.97	4.97	980309
82.0	-154.94	-8.26	921218
87.5	164.39	-1.96	930519
73.2	-179.91	0.0	961005
73.8	155.93	-1.99	980402
88.5	164.94	2.0	980224
69.6	165.15	-4.97	960301
88.2	164.97	-7.98	931012
79.2	-139.84	4.92	971031
83.5	156.16	0.06	980402
75.0	-154.99	-1.98	941110
82.2	-154.99	7.97	960627
89.0	-154.97	-8.28	960901
78.5	-110.11	2.04	940103
80.2	156.21	2.08	971113
80.6	-110.1	2.03	961013
75.4	-154.99	7.97	960731
87.2	-109.98	0.02	961118
85.9	-140.0	0.04	920730
72.9	-170.03	-2.15	960610
80.1	165.04	2.0	911115
92.7	-94.95	8.06	971001
94.2	-94.99	1.97	950331
80.5	156.0	-2.0	970209
82.9	-154.99	-1.98	950911
89.9	-124.9	-2.04	980211
86.9	164.95	1.98	980108
78.0	-139.89	-5.01	950715
88.7	164.99	5.05	931218
74.7	-179.83	-7.98	960521
82.4	-139.98	-1.98	930117
79.8	-170.05	1.98	950924
76.6	156.16	0.0	970405
68.8	156.08	2.0	950925
92.6	-110.01	0.01	950808
87.8	-140.28	9.0	970111
77.3	-139.84	4.91	960531
77.1	-140.56	2.14	951123
85.4	-154.97	-8.28	950728
95.6	-109.99	-2.0	951029
88.8	-124.35	0.02	940218
74.6	165.0	5.04	941207
85.3	-154.91	4.99	960120
77.0	-154.96	-5.02	921205
82.5	-109.88	4.99	950825
86.3	-154.9	4.98	970528
87.2	-109.98	0.0	940110
78.4	-154.99	7.98	971228
79.3	-95.0	5.02	941109
74.2	-170.01	8.03	960821
80.2	-125.02	-7.96	970228
87.5	-169.98	1.98	920313
84.1	-125.07	1.96	980527
84.7	-170.05	8.01	971225
81.7	164.39	-1.95	930725
77.7	-140.01	1.97	940604
82.3	-154.94	5.01	950324
81.0	-124.42	0.04	940101
77.0	164.38	-1.95	931202
81.8	-125.06	1.96	980314
86.4	-110.01	0.09	970213
82.1	-170.02	-7.97	971210
78.8	-179.89	7.98	950614
83.6	-170.04	-2.16	921221
78.3	-169.96	4.97	931220
73.8	164.99	5.02	960312
82.4	164.85	0.02	920607
84.7	-124.9	-2.03	930130
79.4	-95.12	-8.01	970316
93.5	-124.98	5.06	940126
88.7	-140.02	5.01	920605
84.1	165.04	5.03	970711
80.3	-155.0	-8.27	950310
81.3	-139.97	0.03	940726
73.5	146.98	1.99	940209
75.5	-179.89	-1.99	960901
74.2	-154.9	4.99	921121
83.4	-94.84	5.38	960112
86.9	142.98	0.0	930610
81.2	-109.92	-0.07	970426
85.5	-95.08	-5.01	960829
78.2	165.03	0.0	940915
78.6	-179.86	4.99	970128
81.1	-125.26	1.95	960408
89.4	-109.96	5.04	970212
77.3	-154.96	0.02	911010
79.8	-179.88	0.03	931128
74.6	156.0	-2.0	951018
90.9	-170.0	1.98	971211
73.3	-170.0	-4.99	970202
72.3	156.22	4.98	970729
79.7	-170.0	2.0	921231
77.7	165.03	0.0	940208
78.8	155.94	-1.99	980202
83.3	-179.87	0.03	941230
92.0	-96.09	-0.3	960206
75.9	165.08	8.02	940124
84.4	-154.89	5.02	930326
74.7	-125.01	1.97	931013
74.2	-179.88	-1.99	941201
78.9	-140.26	8.98	910712
87.1	-94.95	8.06	980612
81.2	-154.95	-8.29	950614
83.6	137.41	2.42	980609
75.2	146.99	1.99	940113
78.7	-154.99	7.95	970926
82.4	-109.96	4.99	950328
92.5	-170.02	-0.03	980518
81.7	137.4	2.44	960819
78.7	156.01	0.01	930915
84.7	-110.15	8.04	950415
84.3	156.02	2.03	961126
77.2	-179.87	-1.98	960626
81.0	-170.03	-0.04	931022
83.2	-109.92	-8.05	951230
75.1	-139.94	-2.02	970430
81.5	156.04	-5.0	940109
91.2	-109.98	0.02	961029
83.3	-154.98	-5.0	941218
79.7	164.37	-1.95	940127
86.0	165.07	8.05	950326
80.5	-139.91	-4.99	961007
85.9	-110.06	8.04	920420
80.9	-170.02	1.97	960521
81.4	-154.97	-4.99	951102
85.0	-154.96	-8.28	980117
77.9	165.16	-4.98	951123
83.6	-124.99	8.03	951106
78.9	-179.89	-1.99	950907
83.6	-179.88	-4.97	930719
82.7	-95.01	1.97	950221
72.6	156.16	0.02	950822
85.7	-170.03	1.96	940328
72.4	-95.09	-5.02	950331
78.9	165.04	1.99	911225
86.1	-147.16	6.97	900109
85.5	156.01	2.01	930412
88.3	-124.91	-2.03	920726
72.7	165.01	8.0	920217
72.4	-154.99	-4.98	940106
86.1	-139.84	4.92	970730
79.3	164.38	-1.94	940827
76.3	-179.9	-5.02	970513
89.8	-140.24	8.99	911001
82.6	-139.93	0.01	900529
93.3	-95.11	-1.99	960630
76.0	164.4	-1.95	951221
79.6	-179.88	0.05	950815
89.1	-139.84	4.91	960427
86.3	-110.03	-0.01	940803
89.1	-124.9	-2.01	940508
82.9	-110.0	-1.98	980505
81.1	-179.89	7.99	950327
86.2	-139.98	0.04	940503
82.8	-124.9	8.13	950113
75.4	-154.99	-4.99	920724
86.6	156.01	2.02	941204
83.2	-140.04	5.05	910210
79.5	-139.96	-1.99	950128
72.3	-154.96	-8.28	970620
78.8	-139.95	-2.01	961126
80.8	-179.8	2.02	980411
78.1	-125.06	1.96	970721
84.5	-170.0	-5.01	940219
71.0	165.0	0.0	950721
81.1	-179.89	8.01	960404
82.8	156.06	4.99	950424
83.4	-179.89	7.99	950619
87.6	-125.08	1.98	961226
84.0	-95.14	-4.97	971113
80.2	-140.0	0.02	950131
77.2	137.02	2.03	940627
81.0	155.93	-0.08	940405
82.8	155.89	-2.0	921031
78.5	-169.94	1.98	970126
81.4	-154.97	-4.99	950613
73.4	156.0	-2.0	961212
74.9	156.04	-5.01	940203
89.3	-124.92	8.12	940609
79.8	-95.08	-8.02	950415
78.9	164.16	-4.71	931215
80.5	-170.02	-8.01	930221
89.8	-95.1	-8.02	960406
76.0	-170.03	-0.02	960908
86.7	-94.99	7.95	940830
76.5	-169.98	-5.02	970831
83.2	-170.05	-2.16	921225
80.8	-170.01	1.96	930622
79.4	137.42	2.43	970414
74.4	-170.04	-0.03	970207
84.0	-179.93	-8.01	941027
85.3	156.01	8.07	980530
81.3	-139.92	0.02	980326
90.0	-125.08	1.98	970312
69.1	156.1	5.01	980123
82.5	-110.0	-1.98	980322
75.5	-155.01	7.95	950317
82.1	-94.96	5.01	970228
76.9	-179.89	-1.99	941106
75.8	-154.99	-2.02	911109
83.2	-124.38	0.02	921119
87.1	-139.85	4.91	960418
79.0	-125.01	-7.97	970511
77.6	-94.94	8.05	970620
95.5	-95.01	-1.99	950923
83.6	-170.0	8.0	950801
83.7	-110.1	2.04	950812
78.4	-140.32	8.95	980206
78.2	164.97	2.0	970312
87.2	-140.25	9.0	950814
79.4	-170.02	-2.18	940429
75.7	147.02	4.96	951008
79.4	-139.98	0.02	941114
84.9	-139.91	-5.01	960216
78.9	-124.94	-5.04	980101
92.2	-94.98	-0.03	921205
80.9	-125.01	8.03	970720
79.5	147.02	4.98	941212
98.1	164.97	-7.97	930910
75.6	-139.91	-4.99	970607
78.5	-139.99	5.01	940729
77.6	-109.88	5.0	950912
76.8	-179.87	-2.0	960128
79.1	-139.89	-5.0	950205
69.2	165.14	-4.98	960317
81.2	-139.96	-1.99	951024
91.4	-95.01	-1.99	951210
82.5	-179.87	7.99	951115
84.4	-155.01	2.01	920501
81.5	-109.99	0.0	931003
88.6	-95.07	-5.02	980508
79.7	-109.93	-8.02	931218
83.7	-155.1	2.0	940323
85.0	-109.93	-8.05	951223
68.7	-155.02	1.99	941016
81.8	165.03	2.0	950530
90.4	-109.99	-2.02	920309
82.8	-110.08	2.04	920322
82.0	156.02	5.0	931127
90.2	-95.19	-4.95	980131
86.4	-124.94	-5.02	980510
83.2	-170.04	-8.0	930427
80.7	-124.9	-2.03	930623
98.1	-94.99	5.01	941017
83.7	-109.97	5.02	931022
69.8	156.01	-5.0	971102
80.2	156.03	8.09	980305
76.2	156.08	2.0	950814
79.3	164.98	-7.99	911117
86.2	-109.98	-2.02	911216
91.2	-179.86	2.0	940301
82.1	-155.0	-1.98	950904
82.7	-179.85	1.99	951211
79.8	165.07	8.04	930423
75.2	-125.02	-7.98	960423
82.4	164.97	-7.97	921227
86.4	-179.87	5.0	970414
95.5	-94.96	-1.99	921228
80.6	-179.85	-7.98	970716
78.5	-179.89	5.0	940906
84.4	-155.0	7.96	941219
79.7	-170.02	-2.16	960426
83.4	-124.34	0.01	940630
77.3	-169.98	4.98	921218
79.3	-179.85	1.99	960121
81.9	-109.98	5.02	930720
82.0	147.01	1.98	910610
82.8	-124.35	0.02	940423
79.3	-154.96	-8.27	920527
87.3	-170.05	-8.01	950531
91.5	-124.96	-2.0	960218
82.6	147.02	1.99	950208
90.4	-110.01	0.08	961208
84.0	137.01	2.03	941208
83.7	-110.1	2.03	940413
91.2	-140.01	5.03	940425
94.3	-95.3	-1.9	970813
77.6	-139.95	-2.02	970206
78.4	-124.89	-4.99	940628
81.7	146.99	0.0	980530
79.9	-170.03	-8.02	961216
86.9	-170.05	-8.01	960330
73.0	-154.98	-2.02	911101
82.6	-170.04	8.01	961224
73.4	-170.04	-0.03	960106
88.7	-170.02	-0.03	980612
83.4	-170.02	-0.03	960510
84.4	-170.03	1.97	960326
78.4	165.07	8.04	941102
80.4	164.99	2.0	960314
84.2	-139.95	0.01	950326
80.9	164.99	2.0	960421
85.6	-179.88	0.03	930623
78.8	147.05	4.95	970418
93.6	-139.95	-2.0	960310
72.3	164.42	-1.92	980306
75.8	164.85	0.03	920711
