"x" "y" "cru5_precip_hd_61-9012"
"114279" 79.25 10.75 5.5
"30643" 21.25 68.75 1.39999997615814
"46536" 47.75 57.75 1.39999997615814
"33541" 30.25 66.75 1.29999995231628
"98247" -16.75 21.75 0.200000002980232
"36000" 179.75 65.25 1.39999997615814
"46172" -134.25 57.75 4.30000019073486
"39992" 15.75 62.25 1.5
"36850" -115.25 64.25 0.600000023841858
"61066" 112.75 47.75 0.100000001490116
"152856" -72.25 -16.25 0.200000002980232
"102420" -90.25 18.75 1.20000004768372
"134864" -68.25 -3.75 8.39999961853027
"54228" -66.25 52.25 2
"65917" 18.25 44.25 2.79999995231628
"146418" -51.25 -11.75 9.69999980926514
"150939" 49.25 -14.75 9.39999961853027
"44682" -159.25 58.75 1.39999997615814
"62038" -121.25 46.75 7.40000009536743
"39696" -132.25 62.25 0.300000011920929
"97735" 87.25 22.25 0.200000002980232
"33976" -112.25 66.25 0.400000005960464
"51712" 115.75 54.25 0.100000001490116
"151604" 21.75 -15.25 5.40000009536743
"15355" -62.75 79.25 0.600000023841858
"124090" -55.25 3.75 5.80000019073486
"87689" 104.25 29.25 0.5
"85347" 13.25 30.75 0.5
"33108" 173.75 67.25 0.699999988079071
"74629" 54.25 38.25 0.800000011920929
"43040" 99.75 60.25 0.800000011920929
"59166" -117.25 48.75 4.40000009536743
"101318" 78.75 19.75 0.300000011920929
"61615" 27.25 47.25 0.899999976158142
"38068" 133.75 63.75 0.200000002980232
"192223" 171.25 -43.25 6.80000019073486
"52765" -77.75 53.25 1.20000004768372
"62413" 66.25 46.75 0.600000023841858
"50869" 54.25 54.75 1.39999997615814
"85331" 5.25 30.75 0.100000001490116
"24349" 114.25 73.25 0.400000005960464
"54469" 54.25 52.25 1.10000002384186
"46233" -103.75 57.75 0.800000011920929
"71422" -109.25 40.25 0.5
"52256" 27.75 53.75 1.5
"153775" 27.25 -16.75 6.5
"56396" -62.25 50.75 3.09999990463257
"125682" 20.75 2.75 1.79999995231628
"191452" 145.75 -42.75 3.79999995231628
"97041" 100.25 22.75 0.800000011920929
"87506" 12.75 29.25 0.200000002980232
"32081" 20.25 67.75 1
"42960" 59.75 60.25 1.10000002384186
"32620" -70.25 67.25 0.300000011920929
"90499" 69.25 27.25 0.100000001490116
"63897" 88.25 45.75 0.300000011920929
"63152" 75.75 46.25 0.600000023841858
"65431" 135.25 44.75 0.600000023841858
"63521" -99.75 45.75 0.300000011920929
"79060" 109.75 35.25 0.200000002980232
"131262" -69.25 -1.25 8.19999980926514
"27933" 106.25 70.75 0.5
"83924" 21.75 31.75 1.89999997615814
"39342" 50.75 62.75 1.39999997615814
"51018" 128.75 54.75 0.400000005960464
"151471" -44.75 -15.25 7.40000009536743
"75467" 113.25 37.75 0.100000001490116
"92720" 99.75 25.75 0.5
"70696" -112.25 40.75 1.20000004768372
"129804" -78.25 -0.25 2.90000009536743
"51971" -114.75 53.75 0.899999976158142
"72496" 67.75 39.75 1.70000004768372
"125870" 114.75 2.75 10.5
"31808" -116.25 67.75 0.400000005960464
"32659" -50.75 67.25 0.400000005960464
"42392" 135.75 60.75 0.400000005960464
"42279" 79.25 60.75 0.899999976158142
"69529" 24.25 41.75 2.29999995231628
"103404" 41.75 18.25 0.699999988079071
"84110" 114.75 31.75 0.800000011920929
"61585" 12.25 47.25 3.09999990463257
"41706" 152.75 61.25 0.699999988079071
"28605" 82.25 70.25 1.20000004768372
"31471" 75.25 68.25 0.899999976158142
"59923" -98.75 48.25 0.5
"40431" -124.75 61.75 0.5
"73944" 71.75 38.75 2.40000009536743
"148599" -40.75 -13.25 4.09999990463257
"30647" 23.25 68.75 0.699999988079071
"152864" -68.25 -16.25 3.29999995231628
"158298" 128.75 -19.75 1.70000004768372
"152193" -43.75 -15.75 6.5
"62300" 9.75 46.75 5.19999980926514
"142110" -45.25 -8.75 6.30000019073486
"77639" 119.25 36.25 0.300000011920929
"79693" 66.25 34.75 1.39999997615814
"79671" 55.25 34.75 0.400000005960464
"166261" 150.25 -25.25 3.40000009536743
"164781" 130.25 -24.25 1
"120674" 36.75 6.25 0.899999976158142
"25342" -109.25 72.25 0.100000001490116
"81981" 130.25 33.25 1.70000004768372
"69984" -108.25 41.25 0.800000011920929
"52975" 27.25 53.25 1.5
"161685" 22.25 -22.25 1.89999997615814
"143714" 36.75 -9.75 7.40000009536743
"50810" 24.75 54.75 1.60000002384186
"57271" 15.25 50.25 1.5
"82531" 45.25 32.75 0.800000011920929
"108519" 79.25 14.75 1
"106407" 103.25 16.25 0.100000001490116
"12435" -82.75 81.25 0.600000023841858
"58451" -114.75 49.25 2.79999995231628
"45527" -96.75 58.25 0.699999988079071
"55233" 76.25 51.75 0.5
"92711" 95.25 25.75 0.400000005960464
"61733" 86.25 47.25 0.400000005960464
"41248" -76.25 61.25 0.899999976158142
"34538" 168.75 66.25 0.600000023841858
"36159" -100.75 64.75 0.300000011920929
"26225" -27.75 71.75 1.5
"64213" -113.75 45.25 0.5
"165492" 125.75 -24.75 0.800000011920929
"121390" 34.75 5.75 0.600000023841858
"35230" 154.75 65.75 0.5
"171046" 22.75 -28.75 0.899999976158142
"81176" 87.75 33.75 0.300000011920929
"34239" 19.25 66.25 1.29999995231628
"60356" 117.75 48.25 0.100000001490116
"143564" -38.25 -9.75 1.5
"147281" 20.25 -12.25 6.90000009536743
"198935" -72.75 -48.25 1.29999995231628
"71684" 21.75 40.25 2.5
"157388" 33.75 -19.25 6.5
"156846" 122.75 -18.75 1.5
"33986" -107.25 66.25 0.300000011920929
"86257" 108.25 30.25 0.800000011920929
"135041" 20.25 -3.75 6.59999990463257
"50102" 30.75 55.25 1.5
"120634" 16.75 6.25 0.100000001490116
"88701" -109.75 28.25 1.39999997615814
"44795" -102.75 58.75 0.699999988079071
"91977" 88.25 26.25 0.200000002980232
"60954" 56.75 47.75 0.600000023841858
"167653" 126.25 -26.25 0.699999988079071
"29094" -33.25 69.75 2.40000009536743
"173747" -66.75 -30.75 2
"87981" -109.75 28.75 1.39999997615814
"168722" -59.25 -27.25 4
"81886" 82.75 33.25 0.5
"45199" 99.25 58.75 0.699999988079071
"126248" -56.25 2.25 2.5
"38995" -122.75 62.75 0.5
"48005" 62.25 56.75 0.800000011920929
"44545" 132.25 59.25 0.5
"159041" 140.25 -20.25 2.09999990463257
"59483" 41.25 48.75 1.70000004768372
"150753" -43.75 -14.75 5.40000009536743
"142052" -74.25 -8.75 7.09999990463257
"61345" -107.75 47.25 0.300000011920929
"108455" 47.25 14.75 0.200000002980232
"151610" 24.75 -15.25 6.40000009536743
"58448" -116.25 49.25 3.70000004768372
"37426" 172.75 64.25 0.800000011920929
"47328" 83.75 57.25 1.10000002384186
"160288" 43.75 -21.25 4.5
"28857" -151.75 69.75 0.200000002980232
"12528" -36.25 81.25 0.300000011920929
"158816" 27.75 -20.25 3.79999995231628
"12498" -51.25 81.25 0.200000002980232
"59657" 128.25 48.75 0.200000002980232
"55309" 114.25 51.75 0.100000001490116
"97027" 93.25 22.75 0.5
"139914" -63.25 -7.25 8.5
"34527" 163.25 66.25 0.5
"21155" -42.75 75.25 1.5
"102806" 102.75 18.75 0.100000001490116
"32317" 138.25 67.75 0.100000001490116
"160234" 16.75 -21.25 1
"129824" -68.25 -0.25 8.60000038146973
"61570" 4.75 47.25 2.20000004768372
"45521" -99.75 58.25 0.600000023841858
"94894" 106.75 24.25 0.5
"47361" 100.25 57.25 0.699999988079071
"50508" -126.25 54.75 1.60000002384186
"80293" 6.25 34.25 0.899999976158142
"70988" 33.75 40.75 1.79999995231628
"173209" 24.25 -30.25 1
"29807" -36.75 69.25 2.90000009536743
"118689" 124.25 7.75 3.59999990463257
"85386" 32.75 30.75 0.400000005960464
"12552" -24.25 81.25 0.200000002980232
"43847" 143.25 59.75 0.600000023841858
"131452" 25.75 -1.25 5.5
"97047" 103.25 22.75 0.800000011920929
"37900" 49.75 63.75 1.29999995231628
"16110" -45.25 78.75 1
"49364" 21.75 55.75 2.29999995231628
"46709" 134.25 57.75 0.5
"62521" 120.25 46.75 0.100000001490116
"39345" 52.25 62.75 1.39999997615814
"51513" 16.25 54.25 1.70000004768372
"53043" 61.25 53.25 0.699999988079071
"64308" -66.25 45.25 4.69999980926514
"32955" 97.25 67.25 0.699999988079071
"193903" -68.75 -44.75 0.200000002980232
"20023" 111.25 76.25 0.400000005960464
"166265" 152.25 -25.25 4.19999980926514
"27492" -114.25 70.75 0.100000001490116
"87523" 21.25 29.25 0.300000011920929
"63815" 47.25 45.75 0.600000023841858
"29062" -49.25 69.75 1.10000002384186
"124244" 21.75 3.75 1.20000004768372
"146429" -45.75 -11.75 7.69999980926514
"10303" -68.75 82.75 0.200000002980232
"62047" -116.75 46.75 2.5
"42286" 82.75 60.75 1.10000002384186
"23882" -119.25 73.25 0.100000001490116
"63174" 86.75 46.25 0.300000011920929
"35747" 53.25 65.25 1.29999995231628
"82634" 96.75 32.75 0.100000001490116
"138441" -79.75 -6.25 0.400000005960464
"36125" -117.75 64.75 0.600000023841858
"68156" 57.75 42.75 0.400000005960464
"173412" 125.75 -30.25 0.5
"39479" 119.25 62.75 0.5
"130702" 10.75 -0.75 5.59999990463257
"68561" -99.75 42.25 0.5
"65269" 54.25 44.75 0.400000005960464
"132143" 11.25 -1.75 6.5
"73910" 54.75 38.75 0.800000011920929
"56710" 94.75 50.75 0.600000023841858
"21874" -43.25 74.75 1.60000002384186
"150019" -50.75 -14.25 9.80000019073486
"52242" 20.75 53.75 1.60000002384186
"44293" 6.25 59.25 8.39999961853027
"22889" 104.25 74.25 0.5
"153980" 129.75 -16.75 2.70000004768372
"94897" 108.25 24.25 0.800000011920929
"34574" -173.25 65.75 1.70000004768372
"65928" 23.75 44.25 1.39999997615814
"143500" -70.25 -9.75 8.89999961853027
"128366" -77.25 0.75 3.5
"73881" 40.25 38.75 2.90000009536743
"31715" -162.75 67.75 0.300000011920929
"153091" 45.25 -16.25 7.80000019073486
"21790" -85.25 74.75 0.300000011920929
"120627" 13.25 6.25 0.100000001490116
"117710" -5.25 8.25 0.400000005960464
"49477" 78.25 55.75 0.699999988079071
"52011" -94.75 53.75 0.899999976158142
"172690" 124.75 -29.75 0.5
"37325" 122.25 64.25 0.5
"70321" 60.25 41.25 0.5
"75014" -113.25 37.75 0.800000011920929
"48468" -66.25 56.25 1.60000002384186
"133454" -53.25 -2.75 4.09999990463257
"71483" -78.75 40.25 2.79999995231628
"84696" 47.75 31.25 1.29999995231628
"105639" 79.25 16.75 0.300000011920929
"104250" 104.75 17.75 0.400000005960464
"57848" -56.25 49.75 3.40000009536743
"37296" 107.75 64.25 0.5
"44053" -113.75 59.25 0.600000023841858
"184539" -70.75 -38.25 0.5
"47391" 115.25 57.25 0.5
"137907" 13.25 -5.75 4.5
"49819" -110.75 55.25 0.699999988079071
"39661" -149.75 62.25 1
"76036" 37.75 37.25 3
"63022" 10.75 46.25 4.5
"53731" 45.25 52.75 1.39999997615814
"21536" 147.75 75.25 0.200000002980232
"157943" -48.75 -19.75 8.5
"42887" 23.25 60.25 1.60000002384186
"145662" -69.25 -11.25 7.59999990463257
"49138" -91.25 55.75 0.800000011920929
"86886" 62.75 29.75 0.300000011920929
"50593" -83.75 54.75 0.800000011920929
"46669" 114.25 57.75 0.699999988079071
"24042" -39.25 73.25 2.09999990463257
"86813" 26.25 29.75 0.200000002980232
"43003" 81.25 60.25 1
"82703" 131.25 32.75 2
"30076" 97.75 69.25 0.600000023841858
"168391" 135.25 -26.75 0.5
"117210" 104.75 8.75 4.19999980926514
"145147" 33.25 -10.75 6.40000009536743
"42516" -162.25 60.25 1
"23230" -85.25 73.75 0.200000002980232
"112119" 79.25 12.25 3.90000009536743
"147131" -54.75 -12.25 10.3999996185303
"11728" -76.25 81.75 0.699999988079071
"65267" 53.25 44.75 0.400000005960464
"26912" -44.25 71.25 1.89999997615814
"48925" 162.25 56.25 2.20000004768372
"40970" 144.75 61.75 0.400000005960464
"119738" -71.25 6.75 1.39999997615814
"171756" 17.75 -29.25 0.200000002980232
"64455" 7.25 45.25 3.90000009536743
"168874" 16.75 -27.25 0.300000011920929
"33931" -134.75 66.25 0.600000023841858
"88244" 21.75 28.75 0.100000001490116
"54595" 117.25 52.25 0.100000001490116
"161875" 117.25 -22.25 0.800000011920929
"201104" -68.25 -49.75 0.600000023841858
"144972" -54.25 -10.75 10.1999998092651
"27214" 106.75 71.25 0.5
"58471" -104.75 49.25 0.600000023841858
"117559" -80.75 8.25 3.09999990463257
"51663" 91.25 54.25 0.699999988079071
"65216" 27.75 44.75 1.10000002384186
"41524" 61.75 61.25 0.899999976158142
"47753" -63.75 56.75 2
"151618" 28.75 -15.25 6.69999980926514
"71793" 76.25 40.25 0.400000005960464
"111397" 78.25 12.75 1
"201098" -71.25 -49.75 0.400000005960464
"31970" -35.25 67.75 2.90000009536743
"78669" -85.75 35.25 4.5
"60933" 46.25 47.75 0.800000011920929
"46221" -109.75 57.75 0.800000011920929
"125013" 46.25 3.25 0.400000005960464
"13947" -46.75 80.25 0.600000023841858
"106290" 44.75 16.25 0.5
"55808" 3.75 51.25 2.40000009536743
"72146" -107.25 39.75 1.89999997615814
"172331" -54.75 -29.75 4.40000009536743
"34837" -41.75 65.75 3.5
"155780" -50.25 -18.25 9.19999980926514
"16781" -69.75 78.25 0.5
"68170" 64.75 42.75 0.600000023841858
"88361" 80.25 28.75 0.5
"148041" 40.25 -12.75 4.5
"56732" 105.75 50.75 0.400000005960464
"66864" 131.75 43.75 0.5
"133605" 22.25 -2.75 6.19999980926514
"35257" 168.25 65.75 0.699999988079071
"155921" 20.25 -18.25 2.20000004768372
"76059" 49.25 37.25 0.899999976158142
"53782" 70.75 52.75 0.5
"129083" -78.75 0.25 6.30000019073486
"12491" -54.75 81.25 0.200000002980232
"115717" 78.25 9.75 3.20000004768372
"136337" -51.75 -4.75 6.40000009536743
"169599" 19.25 -27.75 0.300000011920929
"194621" -69.75 -45.25 0.300000011920929
"38699" 89.25 63.25 1.39999997615814
"30887" 143.25 68.75 0.300000011920929
"61077" 118.25 47.75 0.100000001490116
"28297" -71.75 70.25 0.400000005960464
"33978" -111.25 66.25 0.300000011920929
"123541" 30.25 4.25 0.5
"189352" 175.75 -41.25 2.40000009536743
"161188" 133.75 -21.75 1.29999995231628
"119924" 21.75 6.75 0.100000001490116
"73206" 62.75 39.25 0.600000023841858
"43417" -71.75 59.75 0.800000011920929
"60987" 73.25 47.75 0.5
"37173" 46.25 64.25 1.39999997615814
"66372" -114.25 43.75 2
"93439" 99.25 25.25 0.5
"78334" 106.75 35.75 0.100000001490116
"78224" 51.75 35.75 1.10000002384186
"30106" 112.75 69.25 0.400000005960464
"61011" 85.25 47.75 0.5
"206137" -71.75 -53.25 1.20000004768372
"51959" -120.75 53.75 2.59999990463257
"32524" -118.25 67.25 0.400000005960464
"41812" -154.25 60.75 1.29999995231628
"183099" -70.75 -37.25 0.400000005960464
"88700" -110.25 28.25 1
"44297" 8.25 59.25 2.20000004768372
"50090" 24.75 55.25 1.5
"60982" 70.75 47.75 0.5
"35143" 111.25 65.75 0.5
"131481" 40.25 -1.25 1.5
"15407" -36.75 79.25 0.699999988079071
"38244" -138.25 63.25 0.300000011920929
"69961" -119.75 41.25 1.39999997615814
"83957" 38.25 31.75 0.200000002980232
"102425" -87.75 18.75 3.20000004768372
"33794" 156.75 66.75 0.5
"90164" -98.25 27.25 0.800000011920929
"24284" 81.75 73.25 1
"152569" 144.25 -15.75 5.09999990463257
"68937" 88.25 42.25 0.100000001490116
"41911" -104.75 60.75 0.699999988079071
"68515" -122.75 42.25 3.79999995231628
"125491" -74.75 2.75 3.90000009536743
"117588" -66.25 8.25 0.400000005960464
"46607" 83.25 57.75 1
"32315" 137.25 67.75 0.200000002980232
"34704" -108.25 65.75 0.300000011920929
"133606" 22.75 -2.75 6
"32154" 56.75 67.75 1.10000002384186
"82232" -104.25 32.75 0.300000011920929
"88367" 83.25 28.75 0.699999988079071
"40880" 99.75 61.75 0.800000011920929
"153627" -46.75 -16.75 9.80000019073486
"121370" 24.75 5.75 0.600000023841858
"171036" 17.75 -28.75 0.100000001490116
"166547" -66.75 -25.75 2.40000009536743
"117079" 39.25 8.75 0.200000002980232
"48205" 162.25 56.75 2
"63285" 142.25 46.25 2.59999990463257
"102090" 104.75 19.25 0.800000011920929
"101353" 96.25 19.75 0.300000011920929
"47213" 26.25 57.25 1.60000002384186
"85830" -105.25 30.25 0.300000011920929
"60845" 2.25 47.75 1.79999995231628
"161925" 142.25 -22.25 1.60000002384186
"17553" -43.75 77.75 1.10000002384186
"49383" 31.25 55.75 1.60000002384186
"43334" -113.25 59.75 0.600000023841858
"52200" -0.25 53.75 2.20000004768372
"177044" 141.75 -32.75 0.699999988079071
"73934" 66.75 38.75 1.29999995231628
"40116" 77.75 62.25 0.899999976158142
"28026" 152.75 70.75 0.300000011920929
"137070" -45.25 -5.25 4.09999990463257
"76894" 106.75 36.75 0.100000001490116
"38128" 163.75 63.75 0.800000011920929
"70752" -84.25 40.75 2.20000004768372
"44152" -64.25 59.25 2
"87283" -98.75 29.25 1.10000002384186
"60734" -53.25 47.75 3.79999995231628
"34380" 89.75 66.25 1.29999995231628
"58101" 70.25 49.75 0.5
"78316" 97.75 35.75 0.100000001490116
"69657" 88.25 41.75 0.100000001490116
"172697" 128.25 -29.75 0.600000023841858
"178064" -68.25 -33.75 1.20000004768372
"60685" -77.75 47.75 2.29999995231628
"92492" -14.25 25.75 0.400000005960464
"73834" 16.75 38.75 4
"61652" 45.75 47.25 0.800000011920929
"39372" 65.75 62.75 1.10000002384186
"133585" 12.25 -2.75 5.90000009536743
"16228" 13.75 78.75 3.09999990463257
"161708" 33.75 -22.25 4.19999980926514
"99835" 57.25 20.75 0.100000001490116
"74033" 116.25 38.75 0.100000001490116
"47966" 42.75 56.75 1.60000002384186
"39356" 57.75 62.75 1.5
"144208" -76.25 -10.25 2.59999990463257
"164056" 127.75 -23.75 1
"76192" 115.75 37.25 0.100000001490116
"158824" 31.75 -20.25 5.40000009536743
"155257" 48.25 -17.75 10.6999998092651
"13936" -52.25 80.25 0.600000023841858
"56659" 69.25 50.75 0.5
"48022" 70.75 56.75 0.699999988079071
"129137" -51.75 0.25 4.59999990463257
"150703" -68.75 -14.75 6.19999980926514
"36507" 73.25 64.75 0.899999976158142
"43051" 105.25 60.25 0.699999988079071
"78210" 44.75 35.75 1.89999997615814
"42915" 37.25 60.25 1.60000002384186
"19688" -56.25 76.25 1.10000002384186
"18221" -69.75 77.25 0.300000011920929
"35542" -49.25 65.25 1.79999995231628
"101964" 41.75 19.25 0.600000023841858
"89850" 104.75 27.75 0.5
"145694" -53.25 -11.25 10
"105627" 73.25 16.75 0.300000011920929
"92326" -97.25 25.75 1.10000002384186
"60315" 97.25 48.25 0.100000001490116
"43576" 7.75 59.75 2.20000004768372
"147991" 15.25 -12.75 6.5
"51619" 69.25 54.25 0.5
"70338" 68.75 41.25 1.5
"26063" -108.75 71.75 0.100000001490116
"44056" -112.25 59.25 0.600000023841858
"33770" 144.75 66.75 0.200000002980232
"113396" -2.25 11.25 0.100000001490116
"50257" 108.25 55.25 0.800000011920929
"57721" -119.75 49.75 2.20000004768372
"29944" 31.75 69.25 1.5
"46949" -105.75 57.25 0.699999988079071
"30170" 144.75 69.25 0.300000011920929
"153794" 36.75 -16.75 7.19999980926514
"51499" 9.25 54.25 2.59999990463257
"178964" 21.75 -34.25 0.899999976158142
"46235" -102.75 57.75 0.800000011920929
"40993" 156.25 61.75 0.699999988079071
"89680" 19.75 27.75 0.100000001490116
"90566" 102.75 27.25 0.200000002980232
"155778" -51.25 -18.25 9.30000019073486
"134857" -71.75 -3.75 7.80000019073486
"13480" 79.75 80.75 0.400000005960464
"83166" 2.75 32.25 0.400000005960464
"35742" 50.75 65.25 1.20000004768372
"35903" 131.25 65.25 0.200000002980232
"35723" 41.25 65.25 1.60000002384186
"65268" 53.75 44.75 0.400000005960464
"99870" 74.75 20.75 0.200000002980232
"19747" -26.75 76.25 1.29999995231628
"77483" 41.25 36.25 1.79999995231628
"41618" 108.75 61.25 0.600000023841858
"152544" 131.75 -15.75 3.79999995231628
"168011" -54.75 -26.75 4.09999990463257
"38278" -121.25 63.25 0.5
"45943" 111.25 58.25 0.800000011920929
"44359" 39.25 59.25 1.60000002384186
"30515" -42.75 68.75 2.59999990463257
"52446" 122.75 53.75 0.200000002980232
"107465" -87.75 15.25 4.59999990463257
"59658" 128.75 48.75 0.200000002980232
"45583" -68.75 58.25 1.20000004768372
"35558" -41.25 65.25 3.5
"47021" -69.75 57.25 1.20000004768372
"63756" 17.75 45.75 1.89999997615814
"146549" 14.25 -11.75 3.40000009536743
"33354" -63.25 66.75 1
"113473" 36.25 11.25 0.200000002980232
"166974" 146.75 -25.75 2.09999990463257
"36666" 152.75 64.75 0.600000023841858
"56701" 90.25 50.75 0.600000023841858
"35100" 89.75 65.75 1.29999995231628
"28932" -114.25 69.75 0.200000002980232
"194377" 168.25 -44.75 8.80000019073486
"170887" -56.75 -28.75 3.79999995231628
"45205" 102.25 58.75 0.800000011920929
"45153" 76.25 58.75 1
"79387" -86.75 34.75 4.69999980926514
"67130" -95.25 43.25 0.600000023841858
"132169" 24.25 -1.75 6
"49581" 130.25 55.75 0.400000005960464
"181673" -63.75 -36.25 2.5
"57338" 48.75 50.25 1
"152876" -62.25 -16.25 4.80000019073486
"174884" 141.75 -31.25 0.699999988079071
"114221" 50.25 10.75 0.100000001490116
"76521" -79.75 36.75 2.59999990463257
"139605" 142.25 -6.75 11.6000003814697
"48402" -99.25 56.25 0.699999988079071
"13288" -16.25 80.75 1.29999995231628
"98967" -16.75 21.25 0.100000001490116
"27230" 114.75 71.25 0.400000005960464
"127824" 11.75 1.25 2.90000009536743
"50970" 104.75 54.75 0.600000023841858
"40022" 30.75 62.25 1.60000002384186
"16232" 15.75 78.75 1
"21060" -90.25 75.25 0.200000002980232
"33342" -69.25 66.75 0.300000011920929
"21896" -32.25 74.75 1.60000002384186
"68905" 72.25 42.25 1.29999995231628
"69988" -106.25 41.25 0.800000011920929
"166933" 126.25 -25.75 0.699999988079071
"29740" -70.25 69.25 0.400000005960464
"101317" 78.25 19.75 0.400000005960464
"31581" 130.25 68.25 0.300000011920929
"23935" -92.75 73.25 0.200000002980232
"27156" 77.75 71.25 0.899999976158142
"44011" -134.75 59.25 1.89999997615814
"78268" 73.75 35.75 1
"54151" -104.75 52.25 0.600000023841858
"52272" 35.75 53.75 1.70000004768372
"145126" 22.75 -10.75 7.19999980926514
"63234" 116.75 46.25 0.100000001490116
"43073" 116.25 60.25 0.600000023841858
"48128" 123.75 56.75 0.400000005960464
"161679" 19.25 -22.25 1.20000004768372
"55938" 68.75 51.25 0.5
"77630" 114.75 36.25 0.200000002980232
"49407" 43.25 55.75 1.60000002384186
"153597" -61.75 -16.75 4.69999980926514
"45735" 7.25 58.25 5.59999990463257
"51079" 159.25 54.75 2.29999995231628
"44434" 76.75 59.25 1
"97668" 53.75 22.25 0.100000001490116
"114332" 105.75 10.75 2.70000004768372
"41434" 16.75 61.25 1.60000002384186
"75325" 42.25 37.75 3.59999990463257
"99094" 46.75 21.25 0.200000002980232
"41723" 161.25 61.25 0.899999976158142
"169458" -51.25 -27.75 5.09999990463257
"136320" -60.25 -4.75 7.19999980926514
"86985" 112.25 29.75 1.10000002384186
"126254" -53.25 2.25 5.69999980926514
"90552" 95.75 27.25 0.5
"58793" 56.25 49.25 0.699999988079071
"41674" 136.75 61.25 0.300000011920929
"78642" -99.25 35.25 0.600000023841858
"66140" 129.75 44.25 0.200000002980232
"79650" 44.75 34.75 1.60000002384186
"75767" -96.75 37.25 1.20000004768372
"66412" -94.25 43.75 0.899999976158142
"35847" 103.25 65.25 0.5
"86590" -85.25 29.75 3.40000009536743
"58461" -109.75 49.25 0.699999988079071
"30236" 177.75 69.25 0.600000023841858
"174158" 138.75 -30.75 0.600000023841858
"40282" 160.75 62.25 0.800000011920929
"171262" 130.75 -28.75 0.600000023841858
"130520" -80.25 -0.75 1.70000004768372
